365340 365340 9
365340 349030 1.1
365340 581366 2.7
39758 243239 6.1
39758 205345 3.6
39758 93005 3.1
524974 488191 7.4
524974 524974 8.8
524974 627514 2.5
305140 421370 2.9
305140 188132 5.1
305140 341331 6.7
488191 572909 3.5
488191 524974 8.2
488191 488191 9.6
747941 747941 5.9
747941 664516 0.7
747941 734588 6.2
93005 243239 5.6
93005 205345 9.9
93005 39758 2.9
734588 747941 9.8
734588 524974 4
734588 748264 9
743074 745899 7.4
743074 723164 3.3
743074 748264 3.5
205345 305140 8
205345 243239 4.9
205345 39758 0.9
341331 205345 6.4
341331 421370 5.3
341331 432272 9
154291 93005 0.4
154291 249646 5.4
154291 38231 3
345988 432272 1.1
345988 341331 2.4
345988 256072 5.6
331776 256072 8.4
331776 349030 9.1
331776 235477 7.8
723164 617996 6.2
723164 572909 2.9
723164 590787 1.3
64651 190577 6.4
64651 244686 8.8
64651 133171 4.4
523871 415862 -9.9
523871 432272 0.5
523871 619297 1.6
416254 488191 1.5
416254 345988 9.6
416254 432272 0.2
758605 615460 7.7
758605 581366 4.5
758605 743074 4.1
38231 93005 0
38231 59114 0.6
38231 256072 0.9
494920 615460 6.5
494920 555976 9.6
494920 365340 0.3
590787 664516 2.7
590787 723164 7.4
590787 524974 9.7
664516 627514 3.1
664516 734588 8.3
664516 524974 3
349030 365340 8
349030 244686 1.6
349030 442606 3.5
256072 331776 6.2
256072 235477 1.1
256072 147215 1.2
436180 416254 8.2
436180 572909 8.5
436180 349030 5.7
147215 235477 9.5
147215 154291 0.1
147215 38231 3
190577 235477 0.1
190577 349030 3
190577 64651 1.3
615460 581366 5.2
615460 745899 7.7
615460 494920 3.3
249646 345988 1.4
249646 154291 1.9
249646 256072 6
581366 442606 4.2
581366 615460 8.5
581366 494920 3.5
627514 734588 9.9
627514 524974 5.1
627514 523871 1.9
133171 365340 5
133171 59114 7.7
133171 244686 3
432272 488191 9.6
432272 421370 0.3
432272 345988 6.7
617996 572909 8
617996 555976 4.8
617996 745899 3.7
619297 664516 6.1
619297 523871 0.2
619297 734588 9.8
555976 615460 0.5
555976 572909 -7.2
555976 494920 5.1
59114 38231 7.2
59114 235477 8.9
59114 64651 8.4
421370 341331 2.1
421370 523871 4.9
421370 432272 0.1
244686 365340 0.8
244686 64651 8.6
244686 190577 0.8
572909 488191 8.2
572909 723164 5.4
572909 617996 0.6
442606 331776 2.8
442606 494920 6.9
442606 436180 8.3
745899 555976 8.9
745899 758605 9.1
745899 617996 6.4
188132 415862 4
188132 39758 -6.9
188132 305140 0
243239 341331 0.7
243239 93005 1.5
243239 205345 2.8
748264 734588 8.3
748264 627514 4.3
748264 590787 6.1
415862 421370 3.5
415862 523871 7.2
415862 305140 9.4
235477 256072 0.6
235477 147215 7.9
235477 331776 5.1
39547 64651 1
39547 59114 7.7
39547 244686 0.5
120700 39758 4.3
120700 305140 0
120700 205345 6.6
