701771 653162 1.5
701771 701771 8.5
299010 249521 6.9
299010 284674 0.2
79403 54266 1.2
79403 69449 2.9
300585 306809 6.8
300585 300585 6.2
200465 191390 7.7
200465 253510 0.9
525571 604751 0.6
525571 523695 6
174453 133926 6.9
174453 216811 4.9
465995 437120 0.9
465995 507428 3.6
731993 714076 6.9
731993 729235 1.1
748618 746768 3.9
748618 701771 5.1
504468 571943 6.2
504468 444136 9.6
124223 151289 2.5
124223 190828 4.1
177711 227245 8.3
177711 133659 6.4
298504 268753 8
298504 253510 6.9
384803 351540 2
384803 361358 5.4
688710 632868 5.9
688710 687754 0.6
419259 479605 1.6
419259 360737 1.9
604751 666787 8.7
604751 525571 1.2
739919 794774 5.5
739919 687754 3.2
21954 75152 7.1
21954 43616 8.7
181067 165835 7.6
181067 151289 9.5
461342 384803 7.9
461342 514440 1
370967 407007 3.8
370967 316036 3.3
571943 554772 0.7
571943 504468 3
586872 533778 6.1
586872 652609 8.3
133926 151103 2.4
133926 130236 5
261790 252850 0.8
261790 299549 1.2
491745 450367 0.8
491745 554772 8.5
763821 752040 5.4
763821 696320 4.4
794774 739919 4.9
794774 758739 3.7
797214 748618 7.1
797214 763821 8.9
648501 587303 1.4
648501 693423 0.6
49143 13092 2
49143 94205 2.8
533778 527541 3.7
533778 586872 2.9
605050 561014 1.3
605050 645604 7.6
583385 519496 4.5
583385 632868 0.9
75152 43616 4.5
75152 133659 3.7
768973 781513 6.1
768973 759161 8.6
151103 133926 4.9
151103 116950 6.3
165835 198285 4.6
165835 97449 4.3
198285 165835 6.2
198285 130786 1.5
253005 301588 5
253005 198095 4.8
326211 375681 9
326211 324355 8.9
227245 274922 8.9
227245 177711 9
407007 406160 0.5
407007 460982 3.3
363371 349814 0.7
363371 398506 5
742483 780203 4.6
742483 794670 7.2
471838 406160 8.6
471838 460982 6.3
472512 533778 8.6
472512 432057 0
130786 165835 2.7
130786 198285 0.5
623225 615962 2.5
623225 693423 5.6
780203 719910 4.5
780203 794670 0.2
491803 450367 2.6
491803 491745 1.6
189872 151103 0.7
189872 252850 4.2
554772 571943 3.2
554772 561014 5
752040 797050 3.3
752040 763821 7.2
759161 798731 4.3
759161 768973 1.2
719910 666787 2.5
719910 780203 3.9
301588 316036 6.4
301588 315022 7
684914 758739 4.6
684914 612018 6
133659 191333 5.9
133659 177711 1
351540 349814 4.7
351540 384803 7.6
437120 363371 2.2
437120 465995 0.3
130236 94205 9.1
130236 200465 2.6
797050 763821 5.1
797050 696225 5.7
599285 666787 0.8
599285 523695 8
523695 599285 4.8
523695 479605 8.6
42066 13204 7.4
42066 87092 1.8
249521 284674 2.6
249521 227876 5.6
460982 407007 8.4
460982 519496 5.8
563209 507428 1
563209 592860 6.1
324355 368410 8.8
