1 985 4.64
985 1 4.64
1 836 1.5
836 1 1.5
2 999 1.98
999 2 1.98
2 920 3.29
920 2 3.29
2 649 6.06
649 2 6.06
2 746 5.27
746 2 5.27
2 973 6.63
973 2 6.63
3 629 1.14
629 3 1.14
3 339 5.2
339 3 5.2
3 735 3.21
735 3 3.21
3 329 3.07
329 3 3.07
3 965 2.95
965 3 2.95
3 964 3.93
964 3 3.93
3 884 7.74
884 3 7.74
3 533 5.32
533 3 5.32
3 632 2.59
632 3 2.59
3 957 0.22
957 3 0.22
4 235 7.71
235 4 7.71
4 574 4.92
574 4 4.92
4 662 7.65
662 4 7.65
4 343 3.24
343 4 3.24
4 308 5.19
308 4 5.19
4 273 0.65
273 4 0.65
5 452 3.09
452 5 3.09
5 39 0.43
39 5 0.43
5 263 7.27
263 5 7.27
5 869 6.36
869 5 6.36
5 104 5.07
104 5 5.07
5 30 2.51
30 5 2.51
6 532 1.92
532 6 1.92
6 977 1.87
977 6 1.87
6 690 5.96
690 6 5.96
6 817 2.69
817 6 2.69
6 622 5.3
622 6 5.3
6 661 5.25
661 6 5.25
6 276 5.52
276 6 5.52
6 145 3.88
145 6 3.88
6 601 0.48
601 6 0.48
6 632 2.99
632 6 2.99
7 592 0.76
592 7 0.76
7 922 2.16
922 7 2.16
7 612 7.12
612 7 7.12
7 781 1.33
781 7 1.33
7 755 6.63
755 7 6.63
7 768 4.89
768 7 4.89
7 45 1.41
45 7 1.41
7 542 4.82
542 7 4.82
7 496 4.3
496 7 4.3
8 667 1.8
667 8 1.8
8 259 2.08
259 8 2.08
8 181 4.24
181 8 4.24
8 145 3.36
145 8 3.36
8 279 4.69
279 8 4.69
8 386 2.33
386 8 2.33
8 155 6.22
155 8 6.22
8 552 7.15
552 8 7.15
9 968 5.94
968 9 5.94
9 927 7.42
927 9 7.42
9 594 1.22
594 9 1.22
9 205 3.31
205 9 3.31
9 739 7.55
739 9 7.55
9 884 2.92
884 9 2.92
9 515 6.13
515 9 6.13
9 902 0.46
902 9 0.46
9 57 7.2
57 9 7.2
9 961 6.88
961 9 6.88
10 530 5.07
530 10 5.07
11 734 6.57
734 11 6.57
11 201 4.03
201 11 4.03
11 536 7.08
536 11 7.08
11 522 7.47
522 11 7.47
11 120 3.84
120 11 3.84
11 816 4.99
816 11 4.99
11 399 3.01
399 11 3.01
11 190 7.1
190 11 7.1
11 752 7.23
752 11 7.23
11 282 5.31
282 11 5.31
12 920 1.91
920 12 1.91
12 121 5.94
121 12 5.94
12 9 5.02
9 12 5.02
12 531 4.02
531 12 4.02
12 3 7.86
3 12 7.86
12 819 3.85
819 12 3.85
12 571 6.39
571 12 6.39
13 85 1.13
85 13 1.13
13 202 5.17
202 13 5.17
13 388 0.99
388 13 0.99
13 308 1.42
308 13 1.42
13 781 6.36
781 13 6.36
13 142 3.9
142 13 3.9
13 25 7.92
25 13 7.92
13 28 6.3
28 13 6.3
13 848 2.16
848 13 2.16
14 942 3.71
942 14 3.71
14 380 4.84
380 14 4.84
14 934 1.01
934 14 1.01
14 323 1.52
323 14 1.52
14 983 2.46
983 14 2.46
15 692 2.17
692 15 2.17
15 876 4.59
876 15 4.59
15 842 1.85
842 15 1.85
15 108 7.13
108 15 7.13
16 774 1.93
774 16 1.93
16 835 4.87
835 16 4.87
16 572 0.67
572 16 0.67
16 766 5.02
766 16 5.02
16 952 5.77
952 16 5.77
16 737 3.6
737 16 3.6
16 430 5.77
430 16 5.77
16 658 2.37
658 16 2.37
17 850 6
850 17 6
17 518 7.09
518 17 7.09
17 644 1.54
644 17 1.54
17 479 5.41
479 17 5.41
17 52 6.09
52 17 6.09
17 170 3.63
170 17 3.63
17 474 1.92
474 17 1.92
17 212 4.52
212 17 4.52
17 994 2.82
994 17 2.82
17 652 4.71
652 17 4.71
18 665 5.04
665 18 5.04
18 183 4.65
183 18 4.65
18 828 5.19
828 18 5.19
18 659 3.13
659 18 3.13
19 404 2.63
404 19 2.63
19 909 1.85
909 19 1.85
19 586 1.12
586 19 1.12
19 468 1.24
468 19 1.24
19 832 7.7
832 19 7.7
19 647 6.22
647 19 6.22
19 312 3.78
312 19 3.78
19 848 0.44
848 19 0.44
20 728 7.28
728 20 7.28
20 257 0.87
257 20 0.87
20 662 2.03
662 20 2.03
20 923 3.88
923 20 3.88
20 509 4.52
509 20 4.52
20 329 6.76
329 20 6.76
20 161 5.46
161 20 5.46
20 160 4.2
160 20 4.2
21 527 3.73
527 21 3.73
21 37 3.73
37 21 3.73
21 765 2.01
765 21 2.01
21 375 3.4
375 21 3.4
21 37 5.43
37 21 5.43
21 312 1.84
312 21 1.84
22 667 0.22
667 22 0.22
22 593 5.03
593 22 5.03
22 461 3.17
461 22 3.17
22 316 0.77
316 22 0.77
22 196 3.02
196 22 3.02
22 233 6.75
233 22 6.75
22 350 0.76
350 22 0.76
22 725 3.17
725 22 3.17
22 114 1.12
114 22 1.12
22 427 2.96
427 22 2.96
