777430 710843
777430 736894
422556 340592
422556 422556
25751 111179
25751 25751
59418 59418
59418 113522
358252 325935
358252 428418
425009 460908
425009 519475
461360 422556
461360 472245
527852 565757
527852 448710
530775 460646
530775 472245
701234 622000
701234 643647
322394 325935
322394 235119
235119 183734
235119 322394
799186 777430
799186 698291
278783 265361
278783 208640
48873 68587
48873 182013
788534 753340
788534 701234
183734 232310
183734 167442
167442 59418
167442 183734
273302 278783
273302 312800
284367 368946
284367 265361
171686 114147
171686 265361
792829 710843
792829 799186
133749 179541
133749 111179
528541 581669
528541 557229
68587 22610
68587 113522
698291 710843
698291 777430
22850 111179
22850 48873
659963 722892
659963 618628
114147 208640
114147 171686
643647 722892
643647 622000
179541 255967
179541 111179
448710 422556
448710 461360
208640 278783
208640 265361
350376 263977
350376 323434
557229 622000
557229 460908
347856 422556
347856 329071
312800 273302
312800 340592
765313 781591
765313 776920
666394 637660
666394 698900
263977 350376
263977 323434
428418 395182
428418 306960
460908 519475
460908 428418
603675 612742
603675 658592
22610 48873
22610 59418
637660 616015
637660 666394
15999 57293
15999 114147
342785 363378
342785 284367
722892 788534
722892 776920
616015 527852
616015 618628
519475 557229
519475 425009
265361 208640
265361 342785
472245 530775
472245 460646
57293 13089
57293 15999
364222 273302
364222 421785
492610 581669
492610 528541
648522 637660
648522 729556
325935 358252
325935 322394
179044 284367
179044 86302
658592 603675
658592 710843
86302 57573
86302 114147
239323 179044
239323 284367
736894 658592
736894 704453
672884 698900
672884 648522
618628 659963
618628 581669
57573 86302
57573 114147
111179 133749
111179 13089
13089 57293
13089 22850
255967 323434
255967 263977
581281 530775
581281 552427
789754 698900
789754 781591
753340 722892
753340 788534
306960 358252
306960 232310
666036 574221
666036 753340
329071 273302
329071 421785
323434 263977
323434 350376
710843 658592
710843 698291
698900 648522
698900 729556
565757 672884
565757 461360
182013 263977
182013 232310
612742 581281
612742 603675
729556 648522
729556 672884
363378 364222
363378 329071
373683 350376
373683 325935
704453 775517
704453 658592
776920 788534
776920 765313
781591 789754
781591 666394
490862 528541
490862 527852
622000 557229
622000 666036
232310 167442
232310 306960
460646 552427
460646 363378
574221 557229
574221 666036
581669 492610
581669 618628
137139 48873
137139 22850
421785 461360
421785 364222
552427 581281
552427 603675
368946 265361
368946 284367
340592 255967
340592 323434
113522 22610
113522 167442
395182 428418
395182 325935
775517 729556
775517 704453
